,umpd_case_number,occured_date_time_location,report_date_time,_type,disposition,location
4028,2015-00047295,10/31/15 03:00,10/31/15 12:48,Hate Bias Incident,Suspended,Cumberland Hall at 4145  Valley  Dr
4029,2015-00047323,10/11/15 14:00,10/31/15 17:05,Vandalism,Active/Pending,Lot 7
4030,2015-00047362,10/31/15 21:22,10/31/15 21:22,Trespassing,Arrest,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155  Terrapin  Trl"
4031,2015-00047395,11/01/15 01:40,11/01/15 01:53,Injured/Sick Person,CBE,Lot W1
4032,2015-00047472,11/01/15 12:35,11/01/15 12:35,Injured/Sick Person,CBE,"Cole Field House, Cole Student Activities Building, Driscoll Center at 4090  Union  Dr"
4033,2015-00047577,11/01/15 22:24,11/01/15 22:24,Injured/Sick Person,CBE,Health Center at 3983  Campus  Dr
4034,2015-00047579,11/01/15 22:53,11/01/15 22:53,CDS Violation,Juvenile Arrest,Baltimore  Ave
4035,2015-00047641,11/02/15 00:57,11/02/15 00:57,Trespassing,CBE,"Comcast Center, Xfinity Center at 8500  Paint Branch  Dr"
4036,2015-00047662,09/16/15 08:00,11/02/15 08:47,Vandalism,Suspended,"Seneca Building, UC Center, UMUC Center, University Centre at 4716  Pontiac  St"
4037,2015-00047671,11/02/15 10:17,11/02/15 10:17,Other Incident (Title IX Related),Active/Pending,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
4038,2015-00047706,11/02/15 12:45,11/02/15 12:45,Injured/Sick Person,CBE,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200  Valley  Dr"
4039,2015-00047762,10/07/15 01:00,11/02/15 16:14,Rape,CBE,Commons 3 at 4318  Knox  Rd
4040,2015-00047783,11/02/15 18:15,11/02/15 18:20,Suspicious Person/Auto,Suspended,"Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
4041,2015-00047801,11/02/15 18:00,11/02/15 19:48,Theft from Auto,Unfounded,"Lot 19, Lot U2, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591  Mowatt  Ln"
4042,2015-00047807,11/02/15 21:17,11/02/15 21:17,DWI/DUI,Arrest,Baltimore  Ave
4043,2015-00047811,11/02/15 21:57,11/02/15 21:57,Dept Property Damage/Loss,CBE,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
4044,2015-00047957,11/01/15 23:00,11/03/15 11:05,Vandalism,Suspended,"Cole Field House, Cole Student Activities Building, Driscoll Center at 4090  Union  Dr"
4045,2015-00047969,11/03/15 13:09,11/03/15 13:09,Bomb Threat,Unfounded,Shuttle Bus Facility at 8537  Paint Branch  Dr
4046,2015-00047975,11/03/15 11:30,11/03/15 14:55,Theft,Suspended,South Campus Dining Hall at 7093  Preinkert  Dr
4047,2015-00048021,11/03/15 20:58,11/03/15 20:58,DWI/DUI,Arrest,University  Bl
4048,2015-00048044,11/03/15 23:50,11/04/15 00:15,Warrant/Summons Service,Arrest,Lot Y
4049,2015-00048110,11/04/15 10:25,11/04/15 10:29,Other Incident,CBE,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200  Valley  Dr"
4050,2015-00048156,11/04/15 14:49,11/04/15 14:49,Accident - Departmental,CBE,Lot A
4051,2015-00048157,11/04/15 14:30,11/04/15 14:50,Burglary,Suspended,Elkton Hall at 3981  Denton Service  Ln
4052,2015-00048159,10/20/15 16:45,11/04/15 15:08,Injured Officer,CBE,"Litton, Police Services & Training Facility at 7147  51st  Ave"
4053,2015-00048226,11/04/15 20:10,11/04/15 20:10,Other Incident,CBE,"Eppley Recreation Center, ERC at 4128  Valley  Dr"
4054,2015-00048242,11/04/15 21:30,11/04/15 21:40,Injured/Sick Person,CBE,Wind Tunnel Building at 8167  Paint Branch  Dr
4055,2015-00048253,11/04/15 22:15,11/04/15 23:37,Peeping Tom (Title IX Related),Suspended,Dorchester Hall at 3947  Campus  Dr
4056,2015-00048355,10/29/15 13:00,11/05/15 10:09,Theft,Suspended,Van Munching Hall at 7699  Mowatt  Ln
4057,2015-00048388,11/05/15 13:05,11/05/15 13:06,Emergency Petition,CBE,Health Center at 3983  Campus  Dr
4058,2015-00048389,11/04/15 16:10,11/05/15 12:51,Theft,Suspended,
4059,2015-00048396,11/04/15 21:20,11/05/15 13:53,Vandalism,Suspended,Elkton Hall at 3981  Denton Service  Ln
4060,2015-00048400,11/04/15 16:00,11/05/15 14:06,Theft,Suspended,"La Plata Hall, LaPlata hall at 4121  Farm  Dr"
4061,2015-00048413,11/05/15 16:48,11/05/15 16:48,Recovered Stolen Property,Active/Pending,"PGUC, UMUC Parking Garage at 347  Ehrensberger  Dr"
4062,2015-00048452,11/05/15 21:09,11/05/15 21:09,CDS Violation,CBE,Paint Branch  Py
4063,2015-00048510,11/06/15 01:41,11/06/15 01:41,DWI/DUI,Arrest,Lot GG1
4064,2015-00048558,11/06/15 11:01,11/06/15 11:01,DWI/DUI,Arrest,College  Ave
4065,2015-00048562,10/01/15 07:00,11/06/15 11:35,Lost Property,Suspended,"Comcast Center, Xfinity Center at 8500  Paint Branch  Dr"
4066,2015-00048563,10/26/15,11/06/15 12:00,Theft,Suspended,Symons Hall at 7998  Regents  Dr
4067,2015-00048565,11/06/15 12:10,11/06/15 12:10,Fire,Unfounded,"Lee Building, South Administration at 7809  Regents  Dr"
4068,2015-00048640,11/06/15 22:42,11/06/15 22:42,CDS Violation,Arrest,South Campus Dining Hall at 7093  Preinkert  Dr
4069,2015-00048659,11/07/15 00:08,11/07/15 00:08,Theft from Auto,Arrest,"Graham Cracker, Lot 15"
4070,2015-00048697,11/07/15 02:40,11/07/15 02:58,Injured/Sick Person,CBE,Commons 6 at 6901  Preinkert  Dr
4071,2015-00048699,11/07/15 03:14,11/07/15 03:14,DWI/DUI,Arrest,Baltimore  Ave
4072,2015-00048722,11/07/15 13:00,11/07/15 13:03,Injured/Sick Person,CBE,Lot Z
4073,2015-00048727,11/06/15 19:00,11/07/15 13:52,Burglary,Suspended,Varsity Sports Teamhouse at 4117  Stadium  Dr
4074,2015-00048730,11/07/15 14:40,11/07/15 14:41,Injured/Sick Person,CBE,"Journalism Building, Knight Hall at 7765  Alumni  Dr"
4075,2015-00048737,11/07/15 15:17,11/07/15 15:17,Injured/Sick Person,CBE,Lot 1d
4076,2015-00048738,11/07/15 15:20,11/07/15 15:20,CDS Violation,Arrest,"La Plata Hall, LaPlata hall at 4121  Farm  Dr"
4077,2015-00048740,11/07/15 15:00,11/07/15 15:27,Injured/Sick Person,CBE,Lot JJ2
4078,2015-00048746,11/07/15 15:47,11/07/15 15:47,Vandalism,CBE,Lot 1d
4079,2015-00048747,11/07/15 15:53,11/07/15 15:53,Injured/Sick Person,CBE,"Capital One Field at Byrd Stadium, Maryland Stadium"
4080,2015-00048755,11/07/15 14:30,11/07/15 16:41,Vandalism,Suspended,Commons 4 at 4310  Knox  Rd
4081,2015-00048757,11/07/15 16:49,11/07/15 16:49,Disorderly Conduct,CBE,"Capital One Field at Byrd Stadium, Maryland Stadium"
4082,2015-00048759,11/07/15 16:59,11/07/15 16:59,Injured/Sick Person,CBE,Knox  Rd
4083,2015-00048762,11/04/15 02:00,11/07/15 17:00,Telephone/EMail Misuse,Suspended,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
4084,2015-00048783,11/07/15 17:00,11/07/15 18:53,Assault,CBE,Ellicott Hall at 4052  Stadium  Dr
4085,2015-00048785,10/22/15 07:00,11/07/15 19:05,Telephone/EMail Misuse,CBE,Centreville Hall at 4243  Valley  Dr
4086,2015-00048797,11/07/15 19:30,11/07/15 19:46,Title IX Incident Non Criminal,Active/Pending,"Capital One Field at Byrd Stadium, Maryland Stadium"
4087,2015-00048808,11/07/15 21:46,11/07/15 21:46,CDS Violation,Arrest,Elkton Hall at 3981  Denton Service  Ln
4088,2015-00048851,11/08/15 00:07,11/08/15 00:07,Trespassing,Arrest,Denton Hall at 3854  Stadium  Dr
4089,2015-00048860,11/08/15 00:55,11/08/15 00:55,Disorderly Conduct,CBE,Paint Branch Gate at 8966  Paint Branch  Dr
4090,2015-00048866,11/08/15 01:30,11/08/15 01:35,Recovered Stolen Motor Vehicle,Suspended,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155  Terrapin  Trl"
4091,2015-00048867,11/07/15 16:00,11/08/15 01:53,Injured/Sick Person,CBE,Easton Hall at 3917  Denton Service  Ln
4092,2015-00048946,11/08/15 11:29,11/08/15 11:29,CDS Violation,CBE,61  Preinkert  Dr
4093,2015-00048968,11/08/15 15:36,11/08/15 15:36,Warrant/Summons Service,Arrest,Lakeland  Rd
4094,2015-00049017,11/08/15 23:11,11/08/15 23:11,CDS Violation,Arrest,Baltimore  Ave
4095,2015-00049109,11/07/15 09:15,11/09/15 09:19,Theft,Unfounded,Denton Area Dining Hall at 3951  Denton Service  Ln
4096,2015-00049127,11/09/15 10:30,11/09/15 10:59,Title IX Incident Non Criminal,CBE,Chesapeake Building at 4300  Terrapin  Trl
4097,2015-00049131,11/09/15 12:00,11/09/15 12:10,Burglary,Arrest,250 block of  Farm  Dr
4098,2015-00049142,11/07/15 13:00,11/09/15 13:19,Assault,CBE,"Art Sociology Building, Art-Sociology Building, Parren J. Mitchell Art-Sociology Building at 3834  Campus  Dr"
4099,2015-00049144,11/07/15 08:52,11/09/15 13:51,Vandalism,Suspended,"Graham Cracker, Lot 15"
4100,2015-00049147,11/09/15 13:00,11/09/15 14:36,Theft,Suspended,Health Center at 3983  Campus  Dr
4101,2015-00049148,10/29/15 22:00,11/09/15 15:03,Theft,Suspended,8000 block of  Boteler  Ln
4102,2015-00049151,10/25/15 07:00,11/09/15 15:06,Theft,Suspended,"La Plata Hall, LaPlata hall at 4121  Farm  Dr"
4103,2015-00049166,11/09/15 17:45,11/09/15 18:29,Theft,Suspended,"Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
4104,2015-00049170,11/09/15 19:00,11/09/15 19:00,Other Service Call,CBE,Marie Mount Hall at 7814  Regents  Dr
4105,2015-00049176,11/09/15 20:20,11/09/15 20:33,Injured/Sick Person,CBE,Easton Hall at 3917  Denton Service  Ln
4106,2015-00049179,11/09/15 21:30,11/09/15 21:35,Injured/Sick Person,CBE,Recreation Artificial Turf Field
4107,2015-00049340,11/04/15 19:00,11/10/15 10:36,Theft from Auto,Suspended,Lot 1b
4108,2015-00049351,11/07/15 22:00,11/10/15 12:45,Vandalism,Suspended,"Frat 3, Tau Kappa Epsilon Fraternity at 3  Fraternity  Row"
4109,2015-00049358,11/10/15 12:00,11/10/15 13:21,Theft,Suspended,"Clarice Smith Performing Arts Center, CSPAC at 8270  Alumni  Dr"
4110,2015-00049366,11/10/15 13:20,11/10/15 14:10,Other Incident,CBE,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200  Valley  Dr"
4111,2015-00049379,10/29/15 23:00,11/10/15 15:49,Theft,Suspended,"Kirwan Hall, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall at 4176  Campus  Dr"
4112,2015-00049421,11/10/15 20:52,11/10/15 20:52,CDS Violation,CBE,Baltimore  Ave
4113,2015-00049431,11/10/15 17:00,11/10/15 21:57,Theft,Suspended,"Kirwan Hall, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall at 4176  Campus  Dr"
4114,2015-00049510,11/10/15 19:00,11/11/15 09:25,Theft,Suspended,"Leonardtown #242, Leonardtown at 4646  Norwich  Rd"
4115,2015-00049551,11/11/15 15:34,11/11/15 15:34,Injured/Sick Person,CBE,Tawes Hall at 7751  Alumni  Dr
4116,2015-00049559,10/16/15 07:00,11/11/15 16:11,Theft,Active/Pending,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
4117,2015-00049612,11/10/15 22:00,11/11/15 19:59,Recovered Stolen Motor Vehicle,Suspended,54th  Ave
4118,2015-00049613,11/11/15 20:06,11/11/15 20:06,Trespassing,CBE,"Chapel, Memorial Chapel at 7744  Regents  Dr"
4119,2015-00049815,11/12/15 09:45,11/12/15 09:47,Vandalism,Active/Pending,Commons 2 at 7524  Calvert Service  Ln
4120,2015-00049838,11/11/15 09:30,11/12/15 13:51,Theft,Active/Pending,"Cole Field House, Cole Student Activities Building, Driscoll Center at 4090  Union  Dr"
4121,2015-00049842,11/12/15 13:25,11/12/15 15:05,Burglary,Arrest,250 block of  Stadium  Dr
4122,2015-00049847,11/12/15 11:45,11/12/15 15:35,Theft,Active/Pending,M Square
4123,2015-00049851,11/12/15 07:00,11/12/15 17:13,Vandalism,Suspended,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
4124,2015-00049878,11/10/15 09:30,11/12/15 20:45,Theft,Active/Pending,24  Lehigh  Rd
4125,2015-00049879,11/12/15 20:51,11/12/15 20:51,Theft,Arrest,Washington Quad
4126,2015-00049892,11/12/15 11:00,11/12/15 22:46,Theft,Active/Pending,24  Lehigh  Rd
4127,2015-00049934,11/13/15 01:35,11/13/15 01:35,Disorderly Conduct,CBE,Norwich  Rd
4128,2015-00050029,11/06/15 10:00,11/13/15 15:05,Theft,Suspended,Lot 16f
4129,2015-00050159,11/14/15 03:39,11/14/15 03:39,DWI/DUI,Arrest,University  Bl
4130,2015-00050160,11/14/15 03:54,11/14/15 03:54,DWI/DUI,Arrest,8600 block of  Baltimore  Ave
4131,2015-00050166,11/14/15 06:38,11/14/15 06:38,Injured/Sick Person,CBE,Chapel Field
4132,2015-00050171,11/14/15 07:55,11/14/15 07:55,Disorderly Conduct,Active/Pending,Lot N3
4133,2015-00050234,11/14/15 12:42,11/14/15 12:42,Recovered Stolen Property,Arrest,University  Bl
4134,2015-00050236,11/14/15 13:15,11/14/15 13:26,Injured/Sick Person,CBE,Tydings Hall at 7343  Preinkert  Dr
4135,2015-00050244,11/14/15 15:52,11/14/15 15:52,CDS Violation,Arrest,Ellicott Hall at 4052  Stadium  Dr
4136,2015-00050249,11/14/15 16:52,11/14/15 16:52,Injured/Sick Person,CBE,265 at 4311  Rowalt  Dr
4137,2015-00050263,11/14/15 17:25,11/14/15 17:39,Injured/Sick Person,CBE,Recreation Artificial Turf Field
4138,2015-00050283,11/14/15 18:57,11/14/15 18:57,Injured/Sick Person,CBE,Recreation Artificial Turf Field
4139,2015-00050331,11/14/15 23:46,11/14/15 23:46,Theft,Juvenile Arrest,"Leonardtown #242, Leonardtown at 4646  Norwich  Rd"
4140,2015-00050336,11/15/15 01:02,11/15/15 01:02,Injured/Sick Person,CBE,Bel Air Hall at 4213  Valley  Dr
4141,2015-00050338,11/15/15 01:15,11/15/15 01:15,Stolen Motor Vehicle,CBE,Lot 2g
4142,2015-00050346,11/15/15 02:51,11/15/15 02:51,Injured/Sick Person,CBE,Cambridge Hall at 4230  Farm  Dr
4143,2015-00050358,11/15/15 08:53,11/15/15 08:53,Injured/Sick Person,CBE,Denton Hall at 3854  Stadium  Dr
4144,2015-00050371,11/13/15 18:00,11/15/15 12:13,Harassment/Stalking,Active/Pending,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
4145,2015-00050378,11/15/15 13:06,11/15/15 13:06,Found/Recovered Property,CBE,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
4146,2015-00050391,11/14/15 19:00,11/15/15 15:49,Theft,Active/Pending,"Leonardtown #240, Leonardtown at 4624  Norwich  Rd"
4147,2015-00050427,11/14/15 01:00,11/15/15 20:38,Theft,Suspended,"Frat 10, Sigma Kappa Sorority at 10  Fraternity  Row"
4148,2015-00050436,11/15/15 22:48,11/15/15 22:48,Trespassing,CBE,Jimenez Hall at 4125 N Library  Ln
4149,2015-00050484,11/14/15 12:00,11/16/15 08:39,Vandalism,Suspended,Police Impound Lot
4150,2015-00050504,11/16/15 12:22,11/16/15 12:24,Assault,CBE,Health Center at 3983  Campus  Dr
4151,2015-00050509,11/14/15 18:30,11/16/15 13:47,Theft,Suspended,"Leonardtown #246, Leonardtown at 7575  Yale  Ave"
4152,2015-00050510,11/16/15 13:50,11/16/15 13:55,Injured/Sick Person,CBE,"College Park Shopping Center, CVS at 7300  Baltimore  Ave"
4153,2015-00050515,11/16/15 05:30,11/16/15 15:30,Threat Assessment,CBE,"A.V. Williams Building, AV Williams at 8223  Paint Branch  Dr"
4154,2015-00050527,11/16/15 17:30,11/16/15 17:30,CDS Violation,Arrest,University  Bl
4155,2015-00050548,11/16/15 19:30,11/16/15 19:51,Injured/Sick Person,CBE,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200  Valley  Dr"
4156,2015-00050680,11/16/15 20:40,11/17/15 08:16,Vandalism,Suspended,Sheep Barn at 8148  Regents  Dr
4157,2015-00050713,11/17/15 11:50,11/17/15 11:53,Emergency Petition,CBE,Health Center at 3983  Campus  Dr
4158,2015-00050718,11/17/15 13:57,11/17/15 13:57,Injured/Sick Person,CBE,Valley  Dr
4159,2015-00050723,11/12/15 15:15,11/17/15 15:20,Theft,Suspended,Calvert Hall at 7551  Calvert Service  Ln
4160,2015-00050724,11/01/15 10:00,11/17/15 15:32,Theft,Suspended,Van Munching Hall at 7699  Mowatt  Ln
4161,2015-00050735,11/17/15 16:00,11/17/15 16:51,Title IX Incident Non Criminal,CBE,Wicomico Hall at 7218  Preinkert  Dr
4162,2015-00050786,11/17/15 22:27,11/17/15 22:27,Injured/Sick Person,CBE,Ellicott Area Dining Hall at 4028  Stadium  Dr
4163,2015-00050798,11/17/15 06:00,11/17/15 23:48,Vandalism,Suspended,Lot Q
4164,2015-00050799,11/17/15 23:56,11/17/15 23:56,CDS Violation,Arrest,"Comcast Center, Xfinity Center at 8500  Paint Branch  Dr"
4165,2015-00050844,11/18/15 04:45,11/18/15 04:45,Injured/Sick Person,CBE,Cambridge Community Center at 4232  Farm  Dr
4166,2015-00050880,11/17/15 21:40,11/18/15 10:45,Vandalism,Arrest,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155  Terrapin  Trl"
4167,2015-00050911,11/07/15 11:47,11/18/15 13:06,Vandalism,Suspended,"Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
4168,2015-00050923,11/18/15 14:05,11/18/15 14:05,Injured/Sick Person,CBE,Jimenez Hall at 4125 N Library  Ln
4169,2015-00050961,11/18/15 17:14,11/18/15 17:14,Telephone/EMail Misuse,CBE,Cumberland Hall at 4145  Valley  Dr
4170,2015-00051061,11/18/15 23:30,11/19/15 01:26,Dept Property Damage/Loss,CBE,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
4171,2015-00051120,11/12/15 06:00,11/19/15 10:02,Theft from Auto,Suspended,Lot 1b
4172,2015-00051133,11/19/15 10:48,11/19/15 10:48,Injured/Sick Person,CBE,Tydings Hall at 7343  Preinkert  Dr
4173,2015-00051155,11/18/15 17:00,11/19/15 11:34,Lost Property,Active/Pending,"Cole Field House, Cole Student Activities Building, Driscoll Center at 4090  Union  Dr"
4174,2015-00051166,11/19/15 12:00,11/19/15 14:19,Suspicious Activity,Active/Pending,3600 block of  Campus Dr
4175,2015-00051170,11/19/15 12:00,11/19/15 14:46,Theft,Suspended,Kim Engineering Building at 8228  Paint Branch  Dr
4176,2015-00051265,11/20/15 00:20,11/20/15 00:20,Disorderly Conduct,Arrest,Ratsies at 7400  Baltimore  Ave
4177,2015-00051359,11/20/15 09:08,11/20/15 09:11,Injured/Sick Person,CBE,Bioscience Research Building at 4066  Campus  Dr
4178,2015-00051372,11/18/15 15:00,11/20/15 10:36,Damage to State Property,Active/Pending,Apiary at 3931  Stadium  Dr
4179,2015-00051422,11/20/15 12:00,11/20/15 15:18,Other Incident,CBE,Chemical & Nuclear Engineering at 4418  Stadium  Dr
4180,2015-00051571,11/21/15 01:30,11/21/15 01:53,Injured/Sick Person,CBE,"Lot 19, Lot U2, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591  Mowatt  Ln"
4181,2015-00051587,11/21/15 06:00,11/21/15 06:00,Trespassing,Arrest,Elkton Hall at 3981  Denton Service  Ln
4182,2015-00051598,11/20/15 12:00,11/21/15 10:34,Burglary,Suspended,Varsity Sports Teamhouse at 4117  Stadium  Dr
4183,2015-00051601,11/21/15 11:00,11/21/15 11:14,Injured/Sick Person,CBE,Valley  Dr
4184,2015-00051602,11/21/15 11:10,11/21/15 11:24,Injured/Sick Person,CBE,"Capital One Field at Byrd Stadium, Maryland Stadium"
4185,2015-00051620,11/20/15 14:17,11/21/15 13:51,Harassment/Stalking,Suspended,Prince Frederick Hall at 7030  Preinkert  Dr
4186,2015-00051635,11/21/15 15:32,11/21/15 15:32,Injured/Sick Person,CBE,Engineering Fields
4187,2015-00051683,11/21/15 10:30,11/21/15 20:29,Theft,Suspended,Martin Hall at 4298  Campus  Dr
4188,2015-00051748,11/22/15 01:10,11/22/15 01:15,Injured/Sick Person,CBE,Shuttle Bus Facility at 8537  Paint Branch  Dr
4189,2015-00051771,11/22/15 08:18,11/22/15 08:18,DWI/DUI,Arrest,"College Park Shopping Center, CVS at 7300  Baltimore  Ave"
4190,2015-00051781,11/22/15 10:13,11/22/15 10:13,CDS Violation,Arrest,University  Bl
4191,2015-00051821,11/22/15 15:15,11/22/15 15:15,Traffic Arrest,Arrest,"Looney's Pub, The Varsity at 8150  Baltimore  Ave"
4192,2015-00051835,11/22/15 16:20,11/22/15 16:20,Injured/Sick Person,CBE,Somerset Hall at 7567  Preinkert  Dr
4193,2015-00051840,11/22/15 16:55,11/22/15 16:55,Overdose,CBE,Lot 1d
4194,2015-00051842,11/22/15 10:30,11/22/15 17:26,Hate Bias Incident (Title IX Related),Active/Pending,"La Plata Hall, LaPlata hall at 4121  Farm  Dr"
4195,2015-00051865,11/22/15 20:38,11/22/15 20:38,Traffic Arrest,Arrest,Baltimore  Ave
4196,2015-00051953,11/23/15 10:59,11/23/15 10:59,Injured/Sick Person,CBE,South Campus Dining Hall at 7093  Preinkert  Dr
4197,2015-00051959,11/23/15 12:08,11/23/15 12:08,CDS Violation,Arrest,Calvert Hall at 7551  Calvert Service  Ln
4198,2015-00051984,11/23/15 15:33,11/23/15 15:56,Other Incident,Suspended,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
4199,2015-00052002,11/23/15 19:15,11/23/15 19:15,Warrant/Summons Service,Arrest,University  Bl
4200,2015-00052044,11/24/15 00:30,11/24/15 00:30,Suspicious Person/Auto,CBE,Patapsco Building at 5145  Campus  Dr
4201,2015-00052049,11/24/15 01:39,11/24/15 01:39,Emergency Petition,CBE,"Leonardtown #239, Leonardtown at 4610  Norwich  Rd"
4202,2015-00052066,11/24/15 04:02,11/24/15 04:02,Injured/Sick Person,CBE,Elkton Hall at 3981  Denton Service  Ln
4203,2015-00052095,11/24/15 08:45,11/24/15 08:45,Accident - Departmental,CBE,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
4204,2015-00052144,11/16/15 20:00,11/24/15 14:56,Peeping Tom,Suspended,282 at 4329  Rowalt  Dr
4205,2015-00052165,11/20/15 11:50,11/24/15 19:11,Theft,Suspended,"Eppley Recreation Center, ERC at 4128  Valley  Dr"
4206,2015-00052217,11/24/15 22:53,11/24/15 22:53,CDS Violation,CBE,Ellicott Hall at 4052  Stadium  Dr
4207,2015-00052229,11/24/15 23:29,11/24/15 23:29,CDS Violation,Arrest,Denton Hall at 3854  Stadium  Dr
4208,2015-00052255,11/25/15 01:41,11/25/15 01:41,CDS Violation,Arrest,Baltimore  Ave
4209,2015-00052283,11/24/15 16:00,11/25/15 08:15,Theft,Suspended,Biology-Psychology Building at 4094  Campus  Dr
4210,2015-00052302,11/24/15 15:00,11/25/15 09:22,Theft,Suspended,Commons 1 at 4250  Lehigh  Rd
4211,2015-00052329,11/25/15 11:48,11/25/15 11:48,Assist Other Agency,Active/Pending,4400 block of  Knox  Rd
4212,2015-00052401,11/25/15 21:08,11/25/15 21:08,Other Incident,Active/Pending,Rossborough Inn at 7682  Baltimore  Ave
4213,2015-00052475,11/26/15 02:27,11/26/15 02:27,DWI/DUI,Arrest,"College Park Shopping Center, CVS at 7300  Baltimore  Ave"
4214,2015-00052507,11/26/13 10:24,11/26/15 09:27,Recovered Stolen Property,CBE,"Frat 7, Lamda Chi Alpha Fraternity at 7  Fraternity  Row"
4215,2015-00052537,11/26/15 16:14,11/26/15 16:14,DWI/DUI,Arrest,Melbourne  Pl
